url,google_index,page_rank,web_traffic,nb_hyperlinks,domain_age,phish_hints,ratio_extHyperlinks,ratio_intHyperlinks,longest_word_path,longest_words_raw,status_boolean
http://locked.appleid.apple.com.services-and-support.com/,1,0,0,10,657,0,0.7,0.3,0,8,1
http://www.rokuhelp.com/now-you-can-stream-discovery-family-of-networks-on-roku/,1,2,0,0,-1,0,0.0,0.0,9,9,0
http://www.laviosaviaggi.com/ver/webapps/3fba3/websrc,1,0,0,0,5971,0,0.0,0.0,7,13,1
https://www.techopedia.com/definition/24205/open-systems-interconnection-model-osi-model,0,6,8182,415,6315,0,0.055421687,0.944578313,15,15,0
https://ocaque-domen.firebaseapp.com/,1,2,0,0,2837,0,0.0,0.0,0,11,1
http://www.storybookalpacas.com/account4/,1,1,0,0,5408,0,0.0,0.0,8,16,1
http://cebuphonly.jrzoutsourcingservices.com/wp-content/themes/jrzouts/forms/paypal_donation.php,1,0,0,22,397,3,0.090909091,0.909090909,8,22,1
https://sites.google.com/view/eddxz/%D8%A7%D9%84%D8%B5%D9%81%D8%AD%D8%A9-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%D8%A9,1,10,1,1,8346,2,1.0,0.0,5,6,1
https://www.britannica.com/topic/bridge-card-game,0,7,599,127,9169,0,0.165354331,0.834645669,6,10,0
https://tools.ietf.org/html/3261,1,7,8530,2228,9269,0,0.003590664,0.996409336,4,5,0
https://www.slideshare.net/IntelligentInk/basic-copywriting-skills,0,8,136,196,5222,0,0.280612245,0.719387755,14,14,0
https://www.merriam-webster.com/dictionary/standard%20error,1,6,603,251,7838,0,0.227091633,0.772908367,10,10,0
http://www.rishtapao.com/login/paypal/users/userID-55847/signin/?country.x=GB&amp;locale.x=en_GB&amp;Auth=%20mGTEqsFjfaZbT0QWtjooEUk2cILJqxgS40XkjcKF,1,0,0,22,1098,2,0.272727273,0.727272727,42,42,1
http://www.kreport.com/1drivestmp/,0,1,0,21,7006,0,0.0,1.0,10,10,1
http://www.electricalquizzes.com/electric-transmission-distribution/electric-transmission-distribution,0,2,443077,61,3683,0,0.131147541,0.8688524590000001,12,17,0
http://www.thefreedictionary.com/image+scanner,0,6,689,196,6256,0,0.142857143,0.857142857,13,17,0
https://www.okulumda.com/ionos/login.php?l=_JeHFUq_VJOXK0QWHtoGYDw1774256418&fid.13InboxLight.aspxn.1774256418&fid.125289964252813InboxLight99642_Product-email&email,1,0,2433519,28,1265,1,0.464285714,0.535714286,30,30,1
http://www.explainthatstuff.com/cdplayers.html,0,5,27218,110,5207,0,0.236363636,0.763636364,9,16,0
http://www.localhistory.ie/,0,3,0,16,3271,0,0.3125,0.6875,0,12,0
http://bit.do/fFMh8,1,7,38060,6,3152,0,0.0,1.0,5,5,1
http://etecindsvc.com/8787?sec=wiebkeoldsen,1,0,0,0,5302,0,0.0,0.0,12,12,1
http://www.diversepropertysolutions.com/login.alibaba.com.spm.a2700.8293689.scGlobalHomeHeader.355.QqbMrU.tracelog.hd.signin.diversepropertysolutions.com/manufacturers/Login.htm,1,0,0,87,4554,4,0.655172414,0.344827586,24,24,1
